Financial_Year,Tax_Gap_Billion,Source_Publication_Year,Tax_Type
2021-22,1.4,2025,Macro Tax Summary - Corporation Tax (Breakdown 3)
2022-23,1.9,2025,Macro Tax Summary - Corporation Tax (Breakdown 3)
2023-24,2.3,2025,Macro Tax Summary - Corporation Tax (Breakdown 3)
2005-06,5.5,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2005-06,5.5,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2005-06,5.5,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2006-07,4.7,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2006-07,4.9,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2006-07,4.9,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2007-08,4.5,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2007-08,4.7,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2007-08,4.7,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2008-09,4.3,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2008-09,4.4,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2008-09,4.4,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2009-10,4.0,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2009-10,4.1,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2009-10,4.1,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2010-11,4.0,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2010-11,3.9,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2010-11,4.0,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2011-12,3.1,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2011-12,3.0,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2011-12,3.0,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2012-13,3.5,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2012-13,3.5,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2012-13,3.6,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2013-14,3.8,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2013-14,3.8,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2013-14,3.7,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2014-15,4.5,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2014-15,4.8,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2014-15,4.7,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
2015-16,4.9,2022,Macro Tax Summary - Corporation Tax (Breakdown 4)
2015-16,5.0,2023,Macro Tax Summary - Corporation Tax (Breakdown 4)
2015-16,4.6,2025,Macro Tax Summary - Corporation Tax (Breakdown 4)
